Date,Price,Open,High,Low,Vol.,Change %
30-Jan-20,351.64,348.3,351.93,347.42,64.03M,0.89%
31-Jan-20,350.08,351.16,352.39,348.35,95.88M,-0.44%
3-Feb-20,351.22,350.74,351.58,349.95,67.83M,0.33%
4-Feb-20,347.61,351.04,352.09,347.4,75.65M,-1.03%
5-Feb-20,349.07,347.31,349.97,346.1,69.01M,0.42%
6-Feb-20,348.98,349.66,350.72,348.26,62.34M,-0.03%
7-Feb-20,347.89,349.73,350.28,347.79,55.10M,-0.31%
10-Feb-20,349.06,348.38,349.06,347.11,52.62M,0.34%
11-Feb-20,350.39,350,351.52,349.73,54.88M,0.38%
12-Feb-20,350.46,349.64,351.65,348.92,55.27M,0.02%
13-Feb-20,354.04,350.45,354.35,350.19,59.91M,1.02%
14-Feb-20,356.33,354.41,356.63,354.15,67.23M,0.65%
18-Feb-20,359.13,357.36,359.84,356.61,78.79M,0.79%
19-Feb-20,355.2,357.4,358.09,355.18,64.84M,-1.09%
20-Feb-20,356.32,355.25,356.57,353.61,71.80M,0.32%
21-Feb-20,355.67,356.13,358,355.37,95.36M,-0.18%
24-Feb-20,351.54,354.37,356.01,351.48,84.36M,-1.16%
25-Feb-20,343.93,351.91,352.52,343.54,87.00M,-2.16%
26-Feb-20,340.61,344.25,347.17,340.54,93.81M,-0.97%
27-Feb-20,324.63,338.96,340.43,324.61,124.37M,-4.69%
28-Feb-20,313.85,317.39,317.39,306.4,201.11M,-3.32%
2-Mar-20,332.25,315.17,332.64,315,131.22M,5.86%
3-Mar-20,328.38,331.94,339.2,327.02,134.65M,-1.16%
4-Mar-20,347.07,332.01,347.26,332.01,96.88M,5.69%
5-Mar-20,341.41,342.01,346.06,337.52,106.33M,-1.63%
6-Mar-20,338.78,336.95,339.88,326.23,132.74M,-0.77%
9-Mar-20,319.67,332.03,332.03,314.96,155.05M,-5.64%
10-Mar-20,322.9,323.59,328.72,308.52,155.47M,1.01%
