Date,Price,Open,High,Low,Vol.,Change %
16-Aug-19,238.85,237.72,239.42,237.26,53.54M,0.63%
19-Aug-19,241,239.92,241.47,238.88,40.34M,0.90%
20-Aug-19,239.05,241.5,241.62,238.97,43.88M,-0.81%
21-Aug-19,240.24,239.77,240.73,238.91,39.20M,0.50%
22-Aug-19,241.27,240.29,241.52,238.76,39.95M,0.43%
23-Aug-19,238.16,241.34,242.92,237.36,53.39M,-1.29%
26-Aug-19,240.59,239.34,240.62,238.58,41.15M,1.02%
27-Aug-19,239.65,241.71,242.18,239.65,53.91M,-0.39%
28-Aug-19,240.46,240.24,240.81,239.4,40.91M,0.34%
29-Aug-19,242.22,241.61,242.52,240.81,38.21M,0.73%
30-Aug-19,242.44,243,243.16,241.45,43.77M,0.09%
3-Sep-19,245.61,242.06,245.61,241.88,46.61M,1.31%
4-Sep-19,247.69,247,247.91,246.16,55.48M,0.85%
5-Sep-19,245.36,247.44,247.44,244.61,62.19M,-0.94%
6-Sep-19,245.89,245.7,246.91,245.11,51.64M,0.22%
9-Sep-19,243.75,245.74,245.74,243.29,58.34M,-0.87%
10-Sep-19,240.42,242.35,242.55,238.67,70.62M,-1.37%
11-Sep-19,239.66,239.67,240.32,238.53,64.02M,-0.32%
12-Sep-19,241,241.3,242.33,239.04,62.96M,0.56%
13-Sep-19,237.93,240.48,241.32,237.18,65.81M,-1.27%
16-Sep-19,240.35,238.19,240.45,237.7,52.42M,1.02%
17-Sep-19,243.71,241.25,243.76,241.18,51.17M,1.40%
18-Sep-19,242.95,244.06,244.52,240.71,50.81M,-0.31%
19-Sep-19,243.62,243.28,244.4,242.73,46.32M,0.28%
20-Sep-19,242.82,243.65,244.41,242.7,108.83M,-0.33%
23-Sep-19,243.39,242.02,244.54,242.02,47.04M,0.23%
24-Sep-19,243.13,243.97,244.88,242.13,53.82M,-0.11%
25-Sep-19,242.94,243.31,243.97,242.17,51.80M,-0.08%
26-Sep-19,245.14,243.66,245.71,243.43,45.83M,0.91%
27-Sep-19,243.22,245.01,245.23,241.37,51.39M,-0.78%
30-Sep-19,243.6,243.36,244.77,243.34,54.95M,0.16%
1-Oct-19,241.12,243.04,243.7,240.54,49.87M,-1.02%
2-Oct-19,239.82,241,241.57,238.44,58.71M,-0.54%
3-Oct-19,242.65,239.93,243.27,239.57,56.90M,1.18%
4-Oct-19,244.12,243.02,244.36,243.01,47.10M,0.61%
7-Oct-19,243.33,243.19,244.46,242.27,42.85M,-0.32%
8-Oct-19,242.16,243.13,244.2,240.98,50.73M,-0.48%
9-Oct-19,242.91,243.15,243.95,242.34,40.17M,0.31%
10-Oct-19,243.36,242.62,243.94,241.63,44.83M,0.19%
11-Oct-19,242.66,243.72,244.79,242.53,48.98M,-0.29%
14-Oct-19,242.98,242.82,243.07,242.06,33.00M,0.13%
15-Oct-19,243.28,243.06,243.48,241.27,45.49M,0.12%
16-Oct-19,242.99,242.82,243.02,241.39,45.42M,-0.12%
17-Oct-19,244.63,243.48,245.27,243.48,44.48M,0.67%
18-Oct-19,247.02,244.75,247.46,244.71,49.59M,0.98%
21-Oct-19,248.76,247.06,248.79,246.35,43.54M,0.70%
22-Oct-19,247.78,249.29,249.51,247.56,42.64M,-0.39%
23-Oct-19,248.21,247.8,248.68,246.2,51.31M,0.17%
24-Oct-19,247.52,248.57,248.57,246.65,44.15M,-0.28%
25-Oct-19,244.29,246.82,246.82,243.79,50.73M,-1.30%
28-Oct-19,241.66,243.58,243.58,241.29,74.78M,-1.08%
29-Oct-19,242.59,241.68,243.96,241.68,62.41M,0.38%
30-Oct-19,244.09,242.99,244.09,240.99,65.47M,0.62%
31-Oct-19,243.21,244.54,244.66,242.46,71.92M,-0.36%
