Date,Price,Open,High,Low,Vol.,Change %
21-Oct-19,"1,060.84","1,063.53","1,066.39","1,058.22",163.59M,-0.07%
22-Oct-19,"1,062.67","1,063.71","1,075.20","1,062.32",214.68M,0.17%
23-Oct-19,"1,069.33","1,063.10","1,072.03","1,062.28",175.55M,0.63%
24-Oct-19,"1,062.95","1,070.86","1,071.79","1,059.93",180.94M,-0.60%
25-Oct-19,"1,065.01","1,059.76","1,067.61","1,058.05",159.64M,0.19%
28-Oct-19,"1,076.07","1,065.72","1,077.96","1,065.72",172.69M,1.04%
29-Oct-19,"1,088.55","1,076.66","1,092.57","1,075.93",176.90M,1.16%
30-Oct-19,"1,097.02","1,092.47","1,097.43","1,087.63",172.98M,0.78%
31-Oct-19,"1,095.58","1,095.03","1,096.97","1,089.10",194.59M,-0.13%
1-Nov-19,"1,097.41","1,099.07","1,106.73","1,097.31",177.43M,0.17%
4-Nov-19,"1,093.62","1,100.79","1,102.44","1,093.58",168.56M,-0.35%
5-Nov-19,"1,083.84","1,095.20","1,095.64","1,083.83",209.23M,-0.89%
6-Nov-19,"1,089.91","1,085.13","1,092.02","1,084.15",198.14M,0.56%
7-Nov-19,"1,091.46","1,093.51","1,095.16","1,088.65",186.14M,0.14%
8-Nov-19,"1,100.18","1,090.98","1,100.19","1,089.97",162.76M,0.80%
11-Nov-19,"1,095.63","1,095.35","1,097.91","1,092.45",124.58M,-0.41%
12-Nov-19,"1,101.98","1,095.81","1,105.66","1,095.75",147.18M,0.58%
13-Nov-19,"1,103.19","1,099.37","1,105.76","1,097.46",157.29M,0.11%
14-Nov-19,"1,102.38","1,102.87","1,104.19","1,096.36",148.51M,-0.07%
15-Nov-19,"1,126.75","1,104.40","1,128.18","1,104.40",223.90M,2.21%
18-Nov-19,"1,122.50","1,126.59","1,131.43","1,121.22",231.92M,-0.38%
19-Nov-19,"1,129.84","1,125.70","1,131.57","1,123.99",230.36M,0.65%
20-Nov-19,"1,128.87","1,128.76","1,132.28","1,122.02",544.17M,-0.09%
21-Nov-19,"1,131.35","1,129.48","1,132.39","1,121.86",165.48M,0.22%
22-Nov-19,"1,135.88","1,134.06","1,137.12","1,131.15",166.12M,0.40%
25-Nov-19,"1,147.99","1,137.76","1,148.25","1,137.76",189.99M,1.07%
26-Nov-19,"1,147.21","1,147.21","1,149.79","1,143.48",233.80M,-0.07%
27-Nov-19,"1,152.73","1,148.99","1,154.65","1,147.83",144.84M,0.48%
29-Nov-19,"1,148.69","1,150.38","1,152.61","1,146.83",73.44M,-0.35%
2-Dec-19,"1,143.63","1,149.91","1,151.47","1,140.35",152.43M,-0.44%
3-Dec-19,"1,141.25","1,136.81","1,142.18","1,132.39",167.58M,-0.21%
4-Dec-19,"1,151.67","1,145.33","1,153.33","1,144.76",153.83M,0.91%
5-Dec-19,"1,152.01","1,152.58","1,153.43","1,142.27",149.80M,0.03%
6-Dec-19,"1,159.11","1,156.61","1,163.21","1,156.61",158.73M,0.62%
9-Dec-19,"1,151.20","1,158.21","1,159.42","1,151.18",173.57M,-0.68%
10-Dec-19,"1,152.89","1,151.45","1,154.58","1,146.56",192.27M,0.15%
11-Dec-19,"1,154.80","1,153.47","1,157.44","1,152.31",193.47M,0.17%
12-Dec-19,"1,165.00","1,155.73","1,168.64","1,154.97",213.48M,0.88%
13-Dec-19,"1,163.70","1,164.14","1,170.50","1,159.36",203.75M,-0.11%
16-Dec-19,"1,176.30","1,168.44","1,180.73","1,168.44",275.73M,1.08%
17-Dec-19,"1,175.27","1,178.68","1,178.68","1,173.66",210.41M,-0.09%
18-Dec-19,"1,176.70","1,175.50","1,179.23","1,174.53",205.52M,0.12%
19-Dec-19,"1,181.27","1,179.40","1,182.77","1,177.47",197.93M,0.39%
20-Dec-19,"1,190.45","1,191.90","1,194.57","1,186.83",372.03M,0.78%
23-Dec-19,"1,194.33","1,191.94","1,195.85","1,189.82",148.02M,0.33%
24-Dec-19,"1,193.14","1,193.98","1,194.49","1,190.60",43.34M,-0.10%
26-Dec-19,"1,191.73","1,193.69","1,195.25","1,188.21",77.00M,-0.12%
27-Dec-19,"1,192.49","1,193.51","1,194.31","1,189.92",83.46M,0.06%
