Date,Price,Open,High,Low,Vol.,Change %
16-Jan-18,483.9,485.49,490.25,481.41,-,-0.33%
17-Jan-18,487.94,483.9,488.85,481.48,-,0.83%
18-Jan-18,487.24,487.94,489.3,486.5,-,-0.14%
19-Jan-18,490.56,487.24,490.59,487.24,-,0.68%
22-Jan-18,494.62,490.56,494.66,489.87,-,0.83%
23-Jan-18,494.83,494.62,495.78,491.12,-,0.04%
24-Jan-18,498.19,494.83,499.41,494.47,-,0.68%
25-Jan-18,497.25,498.19,499.62,495.8,-,-0.19%
26-Jan-18,501.29,497.25,501.33,496.54,-,0.81%
29-Jan-18,498.99,501.29,503.42,498.67,-,-0.46%
30-Jan-18,492.91,498.99,498.99,492.83,-,-1.22%
31-Jan-18,493.45,492.91,496.05,492.08,-,0.11%
1-Feb-18,498.36,493.45,498.39,492.41,-,1.00%
2-Feb-18,487.21,498.36,498.36,486.58,-,-2.24%
5-Feb-18,462.92,487.21,487.21,458.02,-,-4.99%
6-Feb-18,470.77,462.92,471.79,451.04,-,1.70%
7-Feb-18,471.56,470.77,477.55,468.39,-,0.17%
8-Feb-18,450.3,471.56,471.78,450.25,-,-4.51%
9-Feb-18,458.95,450.3,462.18,443.7,-,1.92%
12-Feb-18,465.27,458.95,469.87,458.95,-,1.38%
13-Feb-18,467.34,465.27,468.32,461.62,-,0.44%
14-Feb-18,478.18,467.34,478.59,466.4,-,2.32%
15-Feb-18,481.14,478.18,482.95,476.04,-,0.62%
16-Feb-18,480.61,481.14,484.6,479.18,-,-0.11%
20-Feb-18,479.5,480.61,484.1,477.52,-,-0.23%
21-Feb-18,479.2,479.5,487.11,478.8,-,-0.06%
22-Feb-18,475.46,479.2,483.11,474.46,-,-0.78%
23-Feb-18,482.42,475.46,482.53,475.46,-,1.46%
26-Feb-18,489.69,482.42,489.87,482.42,-,1.51%
27-Feb-18,485.11,489.69,493.3,485.1,-,-0.94%
28-Feb-18,478.88,485.11,489.52,478.68,-,-1.28%
1-Mar-18,470.02,478.88,482.13,467.42,-,-1.85%
2-Mar-18,471.44,470.02,472.34,462,-,0.30%
5-Mar-18,477.89,471.44,480.28,467.51,-,1.37%
6-Mar-18,479.75,477.89,480.65,474.85,-,0.39%
7-Mar-18,478.92,479.75,479.81,473.24,-,-0.17%
8-Mar-18,480.22,478.92,480.77,475.13,-,0.27%
9-Mar-18,492.13,480.22,492.22,480.22,-,2.48%
12-Mar-18,490.17,492.13,493.59,489.44,-,-0.40%
13-Mar-18,484.81,490.17,492.33,483.66,-,-1.09%
14-Mar-18,478.99,484.81,486.52,477.82,-,-1.20%
