Date,Price,Open,High,Low,Vol.,Change %
30-Jan-20,370.16,371.01,371.01,365.16,126.25M,-0.59%
31-Jan-20,361.99,366.61,367.06,360.81,170.00M,-2.21%
3-Feb-20,369.72,363.21,371.08,363.04,120.28M,2.14%
4-Feb-20,376.17,372.75,377.96,372.43,114.74M,1.74%
5-Feb-20,383.18,379.03,383.54,376.63,118.87M,1.86%
6-Feb-20,382.87,383.94,384.16,381.35,95.42M,-0.08%
7-Feb-20,377.27,380.14,380.2,376.07,77.20M,-1.46%
10-Feb-20,377.33,376.96,378.1,375.97,70.87M,0.02%
11-Feb-20,379.27,378.87,382.61,378.87,81.64M,0.51%
12-Feb-20,381.26,380.72,381.84,380.08,72.02M,0.52%
13-Feb-20,379.81,381.47,382.29,378.88,81.93M,-0.38%
14-Feb-20,380.03,379.92,381.27,378.87,92.54M,0.06%
18-Feb-20,379.17,379.98,380.22,377.3,84.90M,-0.23%
19-Feb-20,379.92,379.96,381.31,379.66,78.42M,0.20%
20-Feb-20,380.43,378.95,383.05,377.88,90.73M,0.13%
21-Feb-20,378.91,379.44,380.09,377.92,83.05M,-0.40%
24-Feb-20,368.08,373.67,373.67,366.65,105.24M,-2.86%
25-Feb-20,352.25,367.9,368.38,351.55,131.30M,-4.30%
26-Feb-20,351.05,354.04,358.81,350.72,122.29M,-0.34%
27-Feb-20,334.7,346.41,348.83,334.61,165.65M,-4.66%
28-Feb-20,330.67,326.87,330.71,320.55,214.65M,-1.20%
2-Mar-20,344.38,333.03,344.39,329.74,138.77M,4.15%
3-Mar-20,341.78,344.4,351.3,336.93,155.54M,-0.75%
4-Mar-20,355.49,345.22,355.56,342.8,110.82M,4.01%
5-Mar-20,344.05,348.62,348.86,341.98,107.89M,-3.22%
6-Mar-20,335.02,338.43,338.43,328.62,148.54M,-2.62%
9-Mar-20,303.99,321.42,321.42,302.77,173.34M,-9.26%
10-Mar-20,315.95,310,316,300.65,159.39M,3.93%
11-Mar-20,300.9,309.67,309.67,296.75,152.44M,-4.76%
12-Mar-20,271.97,289.9,290.58,271.79,196.29M,-9.61%
13-Mar-20,290.78,281.2,290.85,270.06,198.03M,6.92%
16-Mar-20,257.52,271.75,271.75,254.87,173.18M,-11.44%
17-Mar-20,274.66,261.3,277.36,255.38,173.94M,6.66%
18-Mar-20,257.74,265.91,267.29,240.45,167.68M,-6.16%
19-Mar-20,263.45,254.21,267.51,247.3,157.84M,2.22%
20-Mar-20,254.16,265.41,265.87,250.33,187.47M,-3.53%
23-Mar-20,241.67,251.06,254.29,240.5,151.10M,-4.91%
24-Mar-20,269.78,257.19,271.46,254.74,162.20M,11.63%
25-Mar-20,275.71,269.02,287.2,266.23,151.10M,2.20%
26-Mar-20,289.32,279.63,290.35,279.4,140.70M,4.94%
27-Mar-20,278.3,278.64,284.3,276.26,124.11M,-3.81%
30-Mar-20,287.35,281.45,288.31,279.62,97.95M,3.25%
31-Mar-20,283.23,285.18,290.26,282.09,136.19M,-1.43%
1-Apr-20,270.22,272.52,278.04,269.71,129.72M,-4.59%
2-Apr-20,274.27,270.07,280.95,269.79,133.66M,1.50%
3-Apr-20,267.86,273.19,277.78,266.68,108.29M,-2.34%
6-Apr-20,288.23,280.62,289.87,280.48,134.23M,7.60%
7-Apr-20,295.2,298.56,305.57,294.29,142.34M,2.42%
8-Apr-20,309.95,297.4,311.2,295.4,100.12M,5.00%
9-Apr-20,323.19,312.85,325.07,312.85,141.32M,4.27%
13-Apr-20,316.31,320.21,321.49,311.86,95.01M,-2.13%
14-Apr-20,319.95,322.84,324.8,317.2,92.54M,1.15%
15-Apr-20,305.53,309.57,309.87,303.23,93.04M,-4.51%
16-Apr-20,303.9,306.47,306.91,298.82,89.93M,-0.53%
17-Apr-20,316.31,310.94,317.03,310.94,116.99M,4.08%
20-Apr-20,308.28,311.05,315.51,307.51,84.21M,-2.54%
21-Apr-20,300.64,300.52,303.94,299.59,96.22M,-2.48%
