Date,Price,Open,High,Low,Vol.,Change %
29-May-18,"1,214.40","1,222.40","1,222.40","1,206.70",-,-0.66%
30-May-18,"1,223.20","1,214.40","1,225.40","1,214.40",-,0.72%
31-May-18,"1,223.40","1,223.20","1,233.40","1,221.70",-,0.02%
1-Jun-18,"1,247.60","1,223.40","1,247.60","1,223.40",-,1.97%
4-Jun-18,"1,257.40","1,247.60","1,259.20","1,247.60",-,0.79%
5-Jun-18,"1,262.80","1,257.40","1,264.50","1,257.40",-,0.43%
6-Jun-18,"1,269.60","1,262.80","1,269.70","1,257.70",-,0.53%
7-Jun-18,"1,255.80","1,269.60","1,269.90","1,248.10",-,-1.09%
8-Jun-18,"1,256.10","1,255.80","1,257.90","1,245.20",-,0.03%
11-Jun-18,"1,256.00","1,256.10","1,260.40","1,252.40",-,-0.01%
12-Jun-18,"1,263.30","1,256.00","1,264.20","1,256.00",-,0.58%
13-Jun-18,"1,260.40","1,263.30","1,271.80","1,259.40",-,-0.23%
14-Jun-18,"1,268.10","1,260.40","1,272.00","1,260.40",-,0.61%
15-Jun-18,"1,262.40","1,268.10","1,268.10","1,255.40",-,-0.45%
18-Jun-18,"1,265.70","1,262.40","1,266.50","1,249.60",-,0.26%
19-Jun-18,"1,256.70","1,265.70","1,265.70","1,240.80",-,-0.72%
20-Jun-18,"1,260.80","1,256.70","1,267.50","1,256.70",-,0.33%
21-Jun-18,"1,250.70","1,260.80","1,266.50","1,248.00",-,-0.80%
22-Jun-18,"1,245.90","1,250.70","1,252.60","1,241.00",-,-0.38%
25-Jun-18,"1,217.60","1,245.90","1,245.90","1,206.60",-,-2.28%
26-Jun-18,"1,223.30","1,217.60","1,232.00","1,217.60",-,0.48%
27-Jun-18,"1,205.60","1,223.30","1,232.90","1,205.60",-,-1.45%
28-Jun-18,"1,218.50","1,205.60","1,223.20","1,204.00",-,1.08%
29-Jun-18,"1,218.60","1,218.50","1,229.90","1,217.20",-,0.01%
2-Jul-18,"1,230.70","1,218.60","1,230.90","1,206.30",-,0.99%
3-Jul-18,"1,213.80","1,230.70","1,234.60","1,213.00",-,-1.37%
5-Jul-18,"1,231.60","1,213.80","1,232.30","1,213.80",-,1.46%
6-Jul-18,"1,246.80","1,231.60","1,248.90","1,229.10",-,1.24%
9-Jul-18,"1,257.00","1,246.80","1,257.30","1,246.80",-,0.82%
10-Jul-18,"1,259.90","1,257.00","1,263.80","1,256.90",-,0.23%
11-Jul-18,"1,253.50","1,259.90","1,259.90","1,248.60",-,-0.51%
12-Jul-18,"1,276.00","1,253.50","1,276.50","1,253.50",-,1.79%
13-Jul-18,"1,275.70","1,276.00","1,278.90","1,270.90",-,-0.02%
